time	gsr	ecg	emg_trapezius	emg_corrugator	emg_zygomaticus
1250	14.5928	-6274.85	2246.52	34148.3	7173.29
3203	14.5915	-6266.06	2237.11	34117.2	7180.42
5156	14.5935	-6298.02	2238.86	34107.4	7212.72
7109	14.5918	-6300.34	2222.98	34113.2	7227.77
9063	14.5951	-6284.56	2204.88	34125.6	7264.55
11016	14.5927	-6283.93	2208.34	34135.9	7262.18
12969	14.5908	-6288.01	2213.53	34144.9	7233.27
14922	14.588	-6286.14	2225.89	34171.1	7201
16875	14.5895	-6287.79	2221.28	34175.9	7178.42
18828	14.5906	-6279.47	2209.3	34153.3	7166
20781	14.5879	-6298.27	2189.11	34116.3	7150.56
22734	14.5935	-6289.07	2208.5	34080.3	7168.5
24688	14.5888	-6290.56	2215.68	34057.7	7214.08
26641	14.5863	-6297.08	2210.39	34055.2	7241.87
28594	14.5873	-6301.55	2208.81	34076.8	7257.15
30547	14.588	-6301.53	2201.24	34096.2	7251.1
32500	14.588	-6282.96	2213.43	34122.6	7255.32
34453	14.5862	-6293.06	2208.75	34162	7247.85
36406	14.5832	-6285.37	2216.5	34170.7	7222.96
38359	14.5854	-6277.14	2209.34	34157.8	7190.48
40313	14.5828	-6271.75	2186.1	34135.5	7170.08
42266	14.5812	-6265.54	2168.66	34100.1	7175.09
44219	14.5837	-6264.48	2181.18	34083	7186.3
46172	14.5845	-6266.72	2185.88	34087.3	7189.36
48125	14.5874	-6270.27	2184.25	34092.3	7196.31
50078	14.5866	-6255.78	2184.65	34116.6	7208.31
52031	14.5856	-6254.56	2201.21	34137.1	7199.8
53984	14.5809	-6264.9	2183.59	34156.9	7199.1
55938	14.5824	-6257.69	2164.95	34165.8	7218.18
57891	14.5807	-6247.54	2157.15	34139.2	7232.61
59844	14.5797	-6248.17	2157.51	34098.1	7225.21
61797	14.5802	-6261.28	2165.33	34051.3	7211.22
63750	14.5812	-6264.02	2170.53	34020.5	7234.49
