time	gsr	ecg	emg_trapezius	emg_corrugator	emg_zygomaticus
1250	1.459150e+01	-4.695392e+01	2.176951e+01	-1.617241e-01	5.996117e+00
3203	1.459313e+01	-5.837379e+01	1.185006e+01	-7.535915e-01	5.812381e+00
5156	1.459187e+01	-8.415303e+01	4.719368e-01	-1.680291e+01	6.103774e+00
7109	1.459376e+01	-7.665217e+01	4.131689e-01	-1.442809e+01	-5.962262e+00
9063	1.459412e+01	-6.314472e+01	-3.642703e+00	3.088187e-01	-3.128846e+00
11016	1.459237e+01	-6.913694e+01	-9.076039e+00	3.024277e-01	-9.697993e+00
12969	1.458949e+01	-6.623563e+01	-1.328524e+01	1.320243e+01	-3.009290e+01
14922	1.458800e+01	-7.230445e+01	-1.224131e+01	1.391210e+01	-6.191719e+01
16875	1.459113e+01	-6.188010e+01	-1.067497e+01	3.813726e-01	-4.086495e+01
18828	1.458798e+01	-6.946968e+01	-1.254781e+01	2.123389e-01	-1.205666e+01
20781	1.459127e+01	-7.785431e+01	-7.659901e+00	-2.818691e+00	-1.153672e+01
22734	1.459187e+01	-6.898283e+01	-9.099795e-01	-1.048238e+01	1.382984e+01
24688	1.458749e+01	-7.586267e+01	-9.652858e-01	-3.208841e+00	3.543873e+01
26641	1.458663e+01	-7.794589e+01	-3.046686e+00	-7.167501e+00	2.714505e+01
28594	1.458763e+01	-8.812563e+01	-3.456846e+00	-7.837718e+00	2.142288e+01
30547	1.458800e+01	-7.345614e+01	-5.353706e-01	-4.123215e+00	1.663074e+01
32500	1.458800e+01	-6.840421e+01	1.580509e+00	2.995108e-01	1.001997e+01
34453	1.458423e+01	-7.362672e+01	3.480294e+00	5.869813e-01	7.549035e+00
36406	1.458451e+01	-6.349449e+01	2.861714e+00	1.277489e+01	-4.432136e+00
38359	1.458474e+01	-5.765855e+01	1.466795e+00	4.184674e+00	-1.365667e+00
40313	1.458149e+01	-5.049416e+01	-2.319981e-01	3.474910e+00	7.441853e+00
42266	1.458251e+01	-4.727607e+01	-1.768802e+00	-3.150442e-01	5.658091e+00
44219	1.458337e+01	-4.533795e+01	-9.810178e-01	-1.141253e+01	1.197672e+01
46172	1.458614e+01	-5.184183e+01	-1.973578e+00	-1.418292e+01	1.394301e+01
48125	1.458674e+01	-4.784653e+01	-2.426911e+00	-1.806963e+01	5.633449e+00
50078	1.458726e+01	-3.420076e+01	6.516708e-02	-2.276370e+00	-2.491745e+01
52031	1.458297e+01	-4.108214e+01	2.452859e+00	-9.487811e-01	-2.273751e+01
53984	1.458189e+01	-4.558531e+01	1.758681e+00	9.073741e+00	-1.804352e+01
55938	1.458174e+01	-3.606058e+01	-1.753732e+00	2.028930e+01	-1.205591e+01
57891	1.458037e+01	-2.721397e+01	-4.660457e+00	6.487431e+00	-5.567985e+00
59844	1.457937e+01	-3.478443e+01	-5.995453e+00	-1.496790e+00	6.141094e+00
61797	1.458152e+01	-4.500498e+01	-6.886134e+00	-2.691681e+00	-1.970815e+00
63750	1.457922e+01	-4.535066e+01	-7.676569e+00	-2.040538e+01	-6.843501e+00
65703	1.457511e+01	-3.678447e+01	-8.887083e+00	-2.370984e+01	1.482025e+01
67656	1.457526e+01	-2.677711e+01	-8.234023e+00	-1.331372e+01	2.871007e+01
69609	1.457789e+01	-2.743321e+01	-7.706507e+00	-6.494727e-01	2.264177e+01
71563	1.457774e+01	-2.235321e+01	-4.698707e+00	-4.167820e-01	1.552830e+01
73516	1.457196e+01	-1.548205e+01	5.527433e+00	6.515874e+00	1.707163e+01
75469	1.457215e+01	-1.847535e+01	4.947546e+00	2.547916e+01	3.484129e+00
77422	1.457463e+01	-1.221663e+01	1.496093e+00	2.052721e+01	-2.918005e+00
79375	1.457689e+01	6.371435e+00	7.393477e+00	-6.784135e-01	-3.702834e+00
81328	1.457359e+01	1.656714e+01	1.692120e+01	-2.767873e-01	2.880289e+00
83281	1.457100e+01	3.212643e+01	2.689275e+01	-1.415345e+01	2.490901e+00
85234	1.457415e+01	3.819760e+01	3.725960e+01	-2.553900e+01	1.199933e+00
87188	1.457348e+01	3.462549e+01	3.743213e+01	-1.795133e+01	9.806529e+00
89141	1.456885e+01	1.998408e+01	4.703962e+01	-8.780247e+00	-2.031072e+01
91094	1.456952e+01	8.680198e+00	5.264454e+01	6.972451e-02	-2.226889e+01
93047	1.456911e+01	2.250907e+00	4.504752e+01	3.572635e+00	-2.959632e+01
95000	1.456989e+01	-3.559624e+00	1.113452e+01	2.748400e+01	-3.658408e+01
96953	1.457037e+01	8.979140e+01	-7.931314e+01	2.539985e+01	-2.383632e+01
98906	1.456685e+01	1.675833e+02	-1.570858e+02	1.319294e+01	1.533796e+00
100859	1.456563e+01	1.823933e+02	-1.323650e+02	1.029338e+00	1.816014e+01
102813	1.456474e+01	1.640731e+02	-6.427205e+01	-1.165583e+01	9.376424e+00
104766	1.456337e+01	1.581092e+02	-2.053057e+01	-2.004172e+01	9.985650e+00
106719	1.456237e+01	1.831746e+02	3.432027e+01	-2.135380e+01	7.752069e+00
108672	1.456389e+01	1.647046e+02	7.273871e+01	-2.210418e+01	1.197939e+01
110625	1.456247e+01	1.221659e+02	9.803315e+01	-4.967057e+00	2.373523e+01
112578	1.455847e+01	6.919813e+01	8.489365e+01	4.154659e+00	1.198962e+01
114531	1.456142e+01	5.051690e+01	3.674941e+01	2.343178e+01	9.068006e+00
116484	1.456084e+01	4.599483e+01	6.737651e+00	2.785939e+01	-1.810291e+00
118438	1.455900e+01	4.091956e+01	-1.553115e+01	2.595260e+00	-4.558062e+00
120391	1.456090e+01	2.765790e+01	-2.945737e+01	2.834824e+00	-1.173052e+01
122344	1.455947e+01	3.267789e+01	-2.689566e+01	-1.606137e+01	-6.938239e+00
124297	1.455357e+01	4.636607e+01	-2.485514e+01	-2.172751e+01	-3.372134e+00
126250	1.455543e+01	5.737703e+01	-3.475115e+01	-1.925003e+01	1.054620e+00
128203	1.455421e+01	6.512333e+01	-1.257016e+01	-1.312016e+01	5.057583e+00
130156	1.455579e+01	7.672206e+01	2.802125e+01	-3.670567e+00	8.460133e+00
132109	1.455610e+01	9.006169e+01	3.104900e+01	2.215953e+00	4.156026e+00
134063	1.455247e+01	1.074289e+02	8.688613e+00	1.409939e+01	7.447320e+00
136016	1.455416e+01	1.243283e+02	3.673798e+00	2.404984e+01	4.839355e+00
137969	1.455473e+01	1.476748e+02	-5.784690e+00	-1.006339e+00	1.268999e+00
139922	1.455084e+01	1.536649e+02	-1.795883e+01	1.622885e-01	-4.328586e-01
141875	1.454963e+01	1.646865e+02	-7.895206e+00	-8.177320e+00	2.282050e-01
143828	1.455317e+01	1.899065e+02	2.520732e-01	-2.300845e+01	-4.681726e+00
145781	1.455247e+01	1.910672e+02	1.326234e+00	-3.552956e+00	-7.341888e+00
147734	1.455163e+01	1.956545e+02	2.991048e+00	-7.229290e-02	-7.469193e+00
149688	1.455010e+01	2.125173e+02	9.001439e-01	-3.442857e-01	-3.232602e+01
151641	1.454456e+01	2.271167e+02	-3.108877e-01	9.496854e-01	-7.551819e+01
153594	1.454263e+01	2.345803e+02	2.991794e-02	1.949313e+01	-4.770395e+01
155547	1.454173e+01	2.464457e+02	1.694698e-02	9.839295e+00	2.210969e+01
157500	1.454100e+01	2.617358e+02	8.144457e-03	-4.289406e-01	6.045363e+01
159453	1.454227e+01	2.858991e+02	-6.430370e-02	-2.553819e-01	6.383161e+01
161406	1.454173e+01	2.903466e+02	-8.898227e-02	-1.912319e+00	4.692109e+01
163359	1.454163e+01	3.075725e+02	-2.571142e-01	-1.502317e+01	2.370060e+01
165313	1.454010e+01	3.106534e+02	-5.032843e-01	-5.763641e+00	3.049171e+00
167266	1.453963e+01	3.029748e+02	-7.248159e-01	-2.330368e+00	-5.834147e+00
169219	1.454000e+01	2.923905e+02	-9.491940e-01	-2.732761e+00	7.925427e+00
171172	1.454063e+01	2.898948e+02	-1.120977e+00	-2.350070e+00	-2.141128e+01
173125	1.453783e+01	2.959822e+02	-1.130077e+00	2.322963e+00	-2.002113e+01
175078	1.453537e+01	3.084300e+02	-1.090999e+00	-2.642666e+00	-1.690410e+01
177031	1.453119e+01	3.178963e+02	-9.990031e-01	-3.549322e-01	-1.040531e+01
178984	1.453344e+01	3.257651e+02	-8.558187e-01	4.554914e+00	-6.194991e-01
180938	1.453727e+01	3.325496e+02	-7.208561e-01	-6.587112e-01	7.674302e+00
