scl , ecg , emg_trap
5.1548,-1456.1,-10984
5.1542,-1452.2,-10980
5.1548,-1453,-10985
5.1542,-1470.5,-11013
5.155,-1485.2,-11014
5.1552,-1489.7,-11009
5.156,-1504.5,-11006
5.156,-1514.5,-11007
5.1559,-1524,-10992
5.155,-1543.3,-10997
5.1548,-1565.4,-11001
5.154,-1569.7,-10994
5.1541,-1555.9,-10982
5.155,-1550,-10992
5.155,-1555.8,-10984
5.155,-1573.5,-10982
5.155,-1577.7,-11003
5.155,-1581.7,-10993
5.155,-1584.6,-10983
5.155,-1595.2,-10975
5.1549,-1592,-10983
5.154,-1593.8,-10981
5.154,-1612.4,-10969
5.154,-1629.8,-10971
5.1541,-1606.2,-10983
5.1549,-1612.8,-10987
5.154,-1601.2,-10988
5.154,-1595,-10989
5.154,-1588.7,-10985
5.154,-1589.5,-10975
5.154,-1607.4,-10980
5.154,-1611.8,-10983
5.154,-1623.2,-10985
5.154,-1635.7,-10988
5.154,-1639.1,-10981
5.154,-1641.5,-10991
5.154,-1637.3,-11003
5.154,-1630.1,-10983
5.1541,-1646.7,-10982
5.1549,-1606.5,-10991
5.154,-1605.1,-10985
5.1539,-1605.6,-11004
5.1529,-1595.7,-10998
5.1521,-1615.2,-10993
5.153,-1618.2,-10992
5.153,-1622.3,-10998
5.1531,-1610.9,-10991
5.154,-1609.5,-10978
5.154,-1610.5,-10976
5.154,-1614.2,-10984
5.154,-1607.1,-10990
5.154,-1611.5,-10982
5.1539,-1620.6,-10969
5.1531,-1612.7,-10988
5.1539,-1615,-10987
5.153,-1610.3,-10984
5.153,-1616.2,-10991
5.153,-1610.3,-10993
5.1531,-1624.3,-10980
5.1539,-1596.3,-11002
5.153,-1604.7,-10980
5.153,-1605.2,-10988
5.153,-1596.3,-11018
5.153,-1600,-11010
5.153,-1631.8,-11011
5.153,-1619.4,-10996
5.153,-1627.6,-11009
5.1531,-1614.2,-10990
5.1539,-1617.6,-10998
5.1521,-1634.5,-10998
5.1529,-1642,-10985
5.1521,-1683.2,-10978
5.1529,-1677.6,-10962
5.151,-1657.6,-10982
5.1521,-1617.6,-10978
5.153,-1531.1,-10983
5.152,-1499.1,-11009
5.153,-1464.7,-11017
5.153,-1343.5,-11017
5.153,-1219.4,-11039
5.152,-1138.9,-11028
5.152,-1000.2,-11030
5.151,-837.51,-11032
5.152,-664.02,-11043
5.152,-453.15,-11060
5.152,-171.71,-11060
5.152,144.62,-11035
5.153,327.05,-11013
5.152,403.45,-10994
5.152,296.49,-10976
5.152,-20.002,-10935
5.152,-345.81,-10937
5.151,-617.2,-10937
