scl , ecg , emg_trap
4.866,-1687.9,-11330
4.8668,-1666.6,-11328
4.8662,-1651.5,-11329
4.8668,-1647.2,-11331
4.8662,-1639.5,-11328
4.8652,-1639.9,-11316
4.8658,-1656.8,-11321
4.8652,-1665.6,-11327
4.8658,-1674.9,-11325
4.8652,-1667.7,-11324
4.8666,-1671,-11326
4.8662,-1685.7,-11326
4.866,-1708.4,-11340
4.866,-1726.5,-11333
4.8652,-1736.7,-11330
4.865,-1738.4,-11323
4.865,-1727,-11326
4.865,-1745.4,-11330
4.865,-1766.6,-11326
4.865,-1779.4,-11317
4.865,-1789.5,-11313
4.865,-1800.8,-11312
4.8658,-1799.1,-11315
4.866,-1800.1,-11313
4.8652,-1827,-11311
4.865,-1828.5,-11313
4.865,-1815.8,-11312
4.8642,-1827.1,-11324
4.8656,-1824.2,-11330
4.8652,-1847.2,-11330
4.865,-1838.5,-11324
4.865,-1837,-11321
4.865,-1816.4,-11320
4.865,-1809.5,-11316
4.8658,-1825.8,-11316
4.8652,-1809.6,-11317
4.865,-1821.7,-11318
4.865,-1839.7,-11322
4.865,-1838.2,-11320
4.865,-1839.1,-11322
4.865,-1846.4,-11320
4.865,-1841.2,-11324
4.8658,-1861.2,-11320
4.8652,-1846.7,-11318
4.865,-1851.8,-11319
4.865,-1847.8,-11321
4.865,-1859.3,-11319
4.865,-1851.9,-11321
4.865,-1860,-11316
4.865,-1851.6,-11314
4.865,-1839.5,-11317
4.865,-1830.7,-11314
4.8658,-1839.7,-11314
4.8652,-1852.8,-11306
4.865,-1839.4,-11305
4.865,-1835.6,-11306
4.8642,-1838,-11312
4.864,-1829.7,-11316
4.8648,-1843.3,-11318
4.865,-1852.5,-11321
4.8642,-1865.7,-11323
4.8648,-1862,-11325
4.865,-1856.3,-11316
4.865,-1839,-11315
4.865,-1845.6,-11315
4.8658,-1860.1,-11316
4.8644,-1872.5,-11327
4.864,-1878.8,-11331
4.864,-1879.4,-11337
4.864,-1880.3,-11318
4.864,-1864.2,-11313
4.864,-1857,-11318
4.864,-1827.6,-11307
4.8648,-1821.4,-11311
4.8642,-1831.6,-11306
4.864,-1835.2,-11310
4.864,-1857.3,-11317
4.864,-1867.8,-11318
4.864,-1889.2,-11309
4.864,-1901.5,-11304
4.8648,-1922.4,-11309
4.8642,-1940.2,-11323
4.864,-1910,-11316
4.864,-1846.8,-11308
4.864,-1761.8,-11317
4.8632,-1727.5,-11318
4.8638,-1635.9,-11320
4.8632,-1528.6,-11326
4.863,-1435.5,-11342
4.8638,-1335.2,-11357
4.8632,-1225.7,-11357
4.8638,-1049.2,-11358
4.864,-816.68,-11371
4.8648,-554.77,-11368
4.8642,-243.59,-11372
4.864,4.0213,-11360
4.8632,130.63,-11340
4.863,89.245,-11322
4.8638,-120.35,-11310
4.864,-460.47,-11297
4.864,-733.89,-11270
