scl , ecg , emg_trap
5.4264,-509.58,-11717
5.4267,-506.78,-11714
5.4264,-504.98,-11720
5.426,-498.75,-11728
5.4253,-501.86,-11720
5.4257,-488.22,-11733
5.426,-464.29,-11735
5.426,-462.71,-11726
5.426,-457.17,-11725
5.426,-440.62,-11716
5.4253,-424.63,-11706
5.425,-429.99,-11714
5.425,-425.83,-11714
5.425,-409.85,-11709
5.425,-407.03,-11707
5.425,-391.44,-11717
5.425,-369.02,-11728
5.425,-355.79,-11725
5.425,-338.38,-11724
5.425,-323.31,-11719
5.425,-304.51,-11714
5.4243,-307.66,-11715
5.424,-312.4,-11721
5.4246,-306.19,-11714
5.4243,-296.39,-11719
5.424,-294.66,-11719
5.424,-289.74,-11722
5.424,-294.43,-11725
5.4234,-282.53,-11734
5.4237,-263.13,-11732
5.424,-275.69,-11725
5.4234,-279.15,-11717
5.4237,-272.36,-11720
5.4234,-265.9,-11713
5.423,-267.58,-11711
5.4223,-269.97,-11714
5.4233,-267.92,-11724
5.424,-266.1,-11726
5.4234,-279.49,-11722
5.4223,-276.62,-11728
5.4233,-272.58,-11725
5.4234,-293.44,-11716
5.4217,-308.7,-11698
5.4216,-327.16,-11699
5.4227,-347.01,-11716
5.423,-374.27,-11717
5.4223,-395.32,-11711
5.422,-420.89,-11724
5.422,-430.63,-11714
5.422,-453.65,-11716
5.422,-471.02,-11726
5.422,-486.21,-11719
5.4214,-506.68,-11727
5.421,-513.5,-11720
5.421,-517.5,-11721
5.4216,-537.56,-11721
5.422,-536.23,-11712
5.4214,-559.69,-11710
5.421,-565.28,-11713
5.421,-585.24,-11704
5.421,-604.86,-11714
5.421,-623.2,-11704
5.4204,-651.03,-11699
5.4207,-663.93,-11710
5.4204,-680.32,-11716
5.42,-691.55,-11718
5.42,-692.55,-11719
5.42,-689.71,-11722
5.4207,-687.54,-11712
5.4204,-706.11,-11715
5.42,-709.73,-11712
5.42,-720.03,-11704
5.4193,-735.81,-11705
5.419,-741.36,-11701
5.419,-736.01,-11713
5.419,-739.87,-11711
5.4196,-747.96,-11712
5.4193,-749.73,-11701
5.419,-753.55,-11698
5.419,-745.39,-11703
5.419,-737.43,-11709
5.419,-720.58,-11698
5.4184,-720.79,-11691
5.418,-728.86,-11697
5.418,-728.01,-11713
5.418,-723.84,-11711
5.4187,-739.1,-11718
5.4184,-737.72,-11712
5.418,-746.57,-11714
5.418,-741.92,-11697
5.418,-728.33,-11697
5.4173,-728.53,-11703
5.4177,-730.16,-11693
5.418,-729.7,-11695
5.4173,-731.88,-11695
5.4164,-740.91,-11694
5.4173,-737.46,-11700
5.4173,-743.34,-11698
5.4177,-746.74,-11710
5.418,-733.58,-11709
5.4173,-735.44,-11711
5.417,-734.18,-11718
5.417,-742.73,-11720
5.4164,-737.87,-11729
5.4166,-738.45,-11728
5.4164,-737.07,-11709
5.416,-744.58,-11712
5.416,-751.09,-11700
5.4173,-738.93,-11701
5.4167,-732.45,-11702
5.416,-727.52,-11702
5.416,-722.17,-11707
5.416,-724.01,-11707
5.4154,-732,-11710
5.4157,-736.95,-11706
5.416,-729.65,-11711
5.4154,-739.05,-11718
5.4157,-747.48,-11723
5.416,-744.76,-11705
5.416,-737.08,-11714
5.4167,-732.17,-11725
5.4164,-723.9,-11713
5.4147,-714.18,-11699
5.4147,-733.09,-11691
5.415,-746.26,-11694
5.4143,-740.22,-11702
5.414,-744.65,-11709
5.414,-737.63,-11700
5.4147,-747.27,-11706
5.415,-751.52,-11715
5.4143,-734.94,-11708
5.414,-720.42,-11709
5.4147,-712.25,-11717
5.4143,-718.27,-11706
5.414,-723.55,-11719
5.414,-723.97,-11728
5.4133,-729.04,-11721
5.413,-750.66,-11713
5.4137,-753.51,-11715
5.4133,-755.12,-11707
5.4137,-755.14,-11697
5.4133,-747.74,-11692
5.413,-748.4,-11696
5.4123,-738.34,-11704
5.412,-747.23,-11703
5.4127,-749.14,-11718
5.4123,-743.55,-11715
5.412,-744.57,-11713
5.412,-759.32,-11716
5.412,-763.11,-11712
5.4127,-775.34,-11717
5.4123,-767.45,-11709
5.412,-756.2,-11709
5.412,-770.01,-11720
5.412,-776.77,-11717
5.412,-771.8,-11720
5.412,-780.75,-11721
5.4113,-779.23,-11721
5.4117,-788.49,-11713
5.412,-790.5,-11723
5.412,-787.68,-11726
5.412,-801.41,-11715
5.412,-793.06,-11727
5.412,-776.77,-11715
5.4113,-763.42,-11708
5.4103,-766.23,-11707
5.41,-770.61,-11701
5.4107,-790.41,-11707
5.411,-801.3,-11709
5.411,-798.55,-11721
5.411,-799.11,-11712
5.411,-804.4,-11718
5.4103,-796.96,-11726
5.41,-806.42,-11707
5.41,-813.74,-11706
5.41,-810.32,-11717
5.4093,-814.13,-11721
5.4097,-813.19,-11704
5.41,-810.23,-11705
5.41,-802.57,-11697
5.41,-792.26,-11705
5.41,-804.3,-11714
5.4093,-796.96,-11700
5.4097,-802.17,-11702
5.4093,-802.56,-11693
5.4083,-791.8,-11686
5.4087,-794.34,-11687
5.409,-792.04,-11703
5.409,-800.37,-11710
5.409,-813.15,-11713
5.409,-816.48,-11714
5.409,-831.82,-11698
5.4097,-829.52,-11717
5.4093,-824.95,-11713
5.409,-822.62,-11701
5.4077,-825.39,-11694
5.4077,-820.83,-11692
5.4073,-818.15,-11702
5.4077,-819.37,-11678
5.408,-813,-11696
5.408,-828.66,-11719
5.408,-824.17,-11709
5.408,-824.58,-11718
5.408,-837.52,-11730
5.4073,-840.77,-11728
5.4077,-844.21,-11729
5.4073,-836.92,-11722
5.407,-827.27,-11722
5.4063,-805.93,-11716
5.4067,-819.38,-11721
5.4077,-822.08,-11716
5.4073,-804.23,-11704
5.407,-815.93,-11715
5.407,-817.41,-11700
5.407,-826.39,-11707
5.4063,-823.2,-11714
5.406,-819.84,-11713
5.406,-830.19,-11744
5.4053,-836.07,-11728
5.4057,-857.86,-11721
5.406,-845.07,-11722
5.406,-832.11,-11713
5.406,-825.41,-11711
5.406,-815.6,-11701
5.406,-805.2,-11707
5.406,-809.16,-11706
5.4053,-814.41,-11705
5.405,-827.76,-11704
5.4057,-827.56,-11710
5.4053,-817.53,-11714
5.405,-824.49,-11711
5.405,-819.95,-11705
5.405,-828.36,-11700
5.405,-826.79,-11705
5.405,-829.65,-11705
5.405,-828.96,-11711
5.405,-822.05,-11728
5.405,-829.63,-11724
5.4043,-828.78,-11721
5.404,-822.84,-11728
5.4047,-820.48,-11718
5.4043,-840.53,-11694
5.4047,-844.99,-11708
5.4043,-847.69,-11729
5.404,-837.3,-11719
5.404,-836.03,-11694
5.4033,-841.88,-11705
5.403,-835.57,-11697
5.4023,-830.53,-11699
5.4027,-835.28,-11709
5.403,-813.93,-11704
5.403,-787.85,-11695
5.403,-775.9,-11715
5.403,-753.11,-11721
5.403,-753,-11709
5.403,-758.83,-11709
5.403,-760.82,-11713
5.403,-780.71,-11718
5.4023,-776.91,-11723
5.402,-782.43,-11721
5.402,-793.26,-11712
5.402,-782.66,-11729
5.402,-759.37,-11720
5.402,-727.45,-11704
5.402,-698.77,-11699
5.4027,-652.32,-11698
5.4017,-638.98,-11699
5.4017,-627.38,-11691
5.402,-622.77,-11702
5.4013,-627.11,-11705
5.4017,-630.5,-11709
5.4013,-657.82,-11729
5.4017,-661.14,-11709
5.402,-672.96,-11708
5.4013,-673.15,-11744
5.4017,-680.83,-11742
5.4013,-699.26,-11726
5.4017,-726.05,-11718
5.4013,-751.41,-11739
5.4003,-742.82,-11736
5.4007,-726.13,-11715
5.4003,-731.91,-11706
5.4,-760.08,-11707
5.4007,-794.19,-11716
5.401,-805.56,-11715
5.401,-806.08,-11697
5.4003,-782.43,-11697
5.4,-788.68,-11709
5.4,-814.46,-11714
5.3993,-818.08,-11704
5.3997,-828.44,-11730
5.4,-845.26,-11727
5.4,-852.82,-11725
5.4,-831.15,-11737
5.4,-829.02,-11718
5.4,-859.6,-11690
5.4,-853.37,-11705
5.4,-841.32,-11710
5.3993,-847.79,-11703
5.399,-829.09,-11700
5.399,-813.28,-11702
5.3997,-818.59,-11709
5.3993,-830.51,-11710
5.399,-851.36,-11709
5.3997,-859.04,-11706
5.3993,-859.96,-11707
5.3997,-865.22,-11703
5.3993,-885.84,-11697
5.399,-859.88,-11710
5.399,-853.67,-11732
5.3983,-852.7,-11735
5.398,-850.1,-11732
5.398,-864.39,-11723
5.398,-859.15,-11720
5.398,-837.35,-11707
5.3987,-847.74,-11694
5.3983,-849.17,-11693
5.3973,-858.4,-11697
5.3977,-860.46,-11699
5.398,-879.51,-11711
5.398,-892.66,-11708
5.3987,-872.4,-11718
5.3983,-866.97,-11695
5.3973,-871.5,-11696
5.3977,-859.51,-11725
5.398,-855.61,-11710
5.398,-850.84,-11703
5.3973,-837.02,-11686
5.3977,-841.62,-11675
5.3973,-844.39,-11669
5.397,-818.47,-11688
5.3963,-830.54,-11705
5.396,-834.77,-11731
5.3967,-850.24,-11722
5.397,-868.4,-11712
5.397,-849.43,-11700
5.397,-833.04,-11694
5.3963,-849.86,-11718
5.396,-862.65,-11701
5.3967,-837.18,-11724
5.3963,-833.32,-11707
5.396,-837.04,-11708
5.396,-851.03,-11701
5.396,-894.89,-11690
5.3967,-937.92,-11696
5.3963,-938.86,-11697
5.396,-904.41,-11727
5.3967,-845.49,-11717
5.3963,-787.28,-11731
5.3953,-752.49,-11728
5.395,-686.03,-11713
5.3957,-557.54,-11716
5.3953,-459.54,-11736
5.3957,-323.34,-11744
5.396,-178.73,-11723
5.396,-11.231,-11722
5.396,179.02,-11737
5.3953,414.38,-11736
5.395,729.46,-11737
5.395,1006.6,-11717
5.395,1155.2,-11693
5.395,1170.2,-11697
5.3943,1028.6,-11679
5.3953,650.26,-11658
5.3947,307.76,-11662
5.3947,6.9107,-11638
5.395,-313.07,-11632
5.3943,-479.05,-11628
5.394,-657.01,-11610
5.394,-815.16,-11633
5.394,-938.52,-11634
5.394,-1011.2,-11658
5.394,-1099.2,-11682
5.3947,-1143.5,-11696
5.3943,-1072,-11691
5.394,-1055.6,-11689
5.394,-964.65,-11703
5.394,-884.21,-11700
5.394,-826.55,-11715
5.394,-801.52,-11718
5.3933,-760.12,-11705
5.393,-754.72,-11704
5.3937,-757.62,-11707
5.3933,-729.59,-11692
5.3937,-721.96,-11680
5.394,-714.59,-11716
5.394,-725.45,-11722
5.394,-732.45,-11718
5.394,-730.95,-11710
5.3933,-720.58,-11697
5.393,-715.55,-11699
5.393,-723.72,-11687
5.393,-722.23,-11706
5.3937,-730.6,-11687
5.3933,-731.34,-11668
5.393,-722.51,-11663
5.3937,-732.57,-11677
5.3933,-682.84,-11684
5.393,-643.77,-11658
5.393,-696.47,-11680
5.3923,-667.95,-11716
5.392,-701.08,-11707
5.392,-757.26,-11688
5.392,-749.03,-11712
5.392,-736.81,-11714
