scl , ecg , emg_trap
4.971,-2663.5,-10493
4.9715,-2672.1,-10515
4.9725,-2684.5,-10523
4.9735,-2690.3,-10512
4.974,-2692.2,-10487
4.9745,-2703.6,-10454
4.975,-2704.2,-10417
4.976,-2710.8,-10404
4.9775,-2719.5,-10421
4.978,-2725.5,-10439
4.978,-2727.7,-10449
4.9791,-2732.5,-10449
4.98,-2733.1,-10441
4.9805,-2726.3,-10444
4.9815,-2730.1,-10453
4.982,-2732.6,-10453
4.9825,-2731,-10459
4.983,-2728.5,-10466
4.9835,-2733.1,-10457
4.9845,-2740.3,-10458
4.985,-2735.4,-10466
4.985,-2724.1,-10463
4.986,-2713.8,-10465
4.9875,-2709.2,-10469
4.9885,-2710.2,-10465
4.989,-2711.8,-10462
4.989,-2705.4,-10466
4.9901,-2698.4,-10465
4.9905,-2694.5,-10458
4.9905,-2700.7,-10456
4.9915,-2707.8,-10451
4.9925,-2708.9,-10446
4.9935,-2706.6,-10447
4.994,-2699.2,-10447
4.9945,-2697.4,-10450
4.9955,-2694.9,-10458
4.9965,-2693.1,-10463
4.9975,-2684.6,-10467
4.998,-2686.9,-10466
4.9985,-2687.3,-10469
4.9995,-2684.7,-10473
5,-2692.3,-10469
5.0005,-2694.2,-10472
5.0015,-2693.4,-10469
5.0025,-2688,-10468
5.003,-2693.8,-10470
5.0035,-2694.9,-10455
5.0045,-2690.6,-10450
5.005,-2696.2,-10458
5.0055,-2696.2,-10459
5.006,-2689.6,-10465
5.0065,-2673.8,-10465
5.0075,-2667.1,-10463
5.0085,-2678.5,-10468
5.0095,-2683.4,-10476
5.01,-2686,-10477
5.0105,-2686.4,-10472
5.0115,-2688.2,-10470
5.0125,-2686.4,-10465
5.013,-2686.7,-10464
5.013,-2689.7,-10463
5.0135,-2685.9,-10461
5.0145,-2689.2,-10458
5.0155,-2691.6,-10448
5.0165,-2687.1,-10444
5.0175,-2682.3,-10453
5.018,-2677.6,-10462
5.0185,-2668.2,-10463
5.0195,-2662.6,-10460
5.02,-2667.3,-10463
5.02,-2668.6,-10458
5.0205,-2669.1,-10460
5.0215,-2671,-10463
5.022,-2669.6,-10460
5.0225,-2680.6,-10457
5.0241,-2685.2,-10458
5.0255,-2680.4,-10452
5.026,-2686.9,-10451
5.0265,-2691.1,-10459
5.027,-2694.3,-10458
5.027,-2692.2,-10457
5.0275,-2690.4,-10457
5.0285,-2694.9,-10458
5.0295,-2688.7,-10456
5.0305,-2681.8,-10462
5.031,-2687.3,-10467
5.0315,-2688.9,-10468
5.0325,-2691.3,-10468
5.033,-2694.8,-10468
5.0335,-2699,-10468
5.034,-2712.3,-10462
5.0351,-2713.9,-10464
5.036,-2711.3,-10462
5.0365,-2719,-10451
5.0375,-2721.3,-10450
5.0385,-2709.6,-10459
5.039,-2704.6,-10455
5.0395,-2705.8,-10452
5.0405,-2699.4,-10454
5.041,-2695.6,-10442
5.0415,-2695,-10439
5.042,-2698.2,-10440
5.0425,-2700.2,-10439
5.0435,-2707,-10438
5.0445,-2712.3,-10446
5.0455,-2707.8,-10443
5.0465,-2709.8,-10445
5.047,-2718.8,-10459
5.0475,-2715.8,-10468
5.048,-2715.6,-10471
5.0485,-2720.8,-10461
5.0495,-2712.6,-10453
5.05,-2707.3,-10451
5.0505,-2715.9,-10458
5.0515,-2723.7,-10466
5.0525,-2715.6,-10468
5.0535,-2705.5,-10468
5.0545,-2706.1,-10468
5.0555,-2710.2,-10467
5.0555,-2709.6,-10462
5.0555,-2709.6,-10458
5.0565,-2707.7,-10455
5.0575,-2701.9,-10456
5.058,-2703.7,-10450
5.0585,-2704.4,-10449
5.0595,-2711.7,-10457
5.0605,-2718.2,-10470
5.0621,-2706.3,-10473
5.063,-2704.6,-10468
5.0635,-2705.3,-10476
5.0645,-2701,-10475
5.0645,-2709.2,-10463
5.0645,-2713.9,-10448
5.0655,-2710,-10448
5.0665,-2717.8,-10453
5.0675,-2721.2,-10453
5.0685,-2711.1,-10456
5.0695,-2711.8,-10464
5.07,-2710.9,-10461
5.07,-2706.7,-10458
5.0711,-2712.2,-10458
5.072,-2713.8,-10460
5.0725,-2710.5,-10464
5.073,-2708.1,-10459
5.0741,-2716.9,-10458
5.075,-2718.6,-10462
5.0755,-2719,-10465
5.0765,-2719.1,-10469
5.0775,-2699.4,-10461
5.0785,-2682.8,-10453
5.079,-2672.5,-10454
5.0795,-2667.8,-10456
5.08,-2668.1,-10461
5.0805,-2657.5,-10466
5.0815,-2656.6,-10467
5.082,-2664.1,-10459
5.0831,-2662.9,-10465
5.084,-2653.3,-10468
5.0845,-2650.4,-10464
5.0861,-2659.8,-10465
5.087,-2654.7,-10465
5.0875,-2647.1,-10456
5.088,-2642.8,-10452
5.0885,-2626,-10462
5.0895,-2585.1,-10456
5.0905,-2560.9,-10455
5.091,-2551.5,-10463
5.0915,-2535.6,-10467
5.0931,-2522.8,-10467
5.094,-2524.3,-10468
5.0945,-2547.9,-10467
5.095,-2565.8,-10465
5.095,-2567.5,-10468
5.0961,-2572.7,-10471
5.0965,-2575.4,-10467
5.0971,-2583.8,-10469
5.098,-2600.3,-10478
5.0991,-2606.7,-10477
5.1005,-2602.6,-10474
5.1015,-2611.3,-10466
5.102,-2626.5,-10465
5.102,-2644,-10469
5.1025,-2661.1,-10464
5.1035,-2668.3,-10458
5.104,-2666.4,-10451
5.1051,-2657,-10445
5.106,-2666.5,-10452
5.1065,-2682.3,-10465
5.1081,-2691.3,-10470
5.109,-2696.2,-10474
5.1095,-2691.3,-10471
5.11,-2685.6,-10464
5.1105,-2687.4,-10467
5.111,-2704.4,-10464
5.1115,-2709.5,-10452
5.112,-2709,-10451
5.1131,-2720.5,-10447
5.114,-2725.4,-10438
5.1151,-2721.6,-10447
5.1165,-2707.9,-10456
5.117,-2703,-10455
5.1175,-2707.6,-10458
5.118,-2715.1,-10457
5.1185,-2717.7,-10458
5.1195,-2715.6,-10462
5.1205,-2720.5,-10457
5.1215,-2726.5,-10452
5.1225,-2733,-10457
5.1235,-2725.4,-10458
5.1245,-2722.2,-10454
5.1255,-2722.1,-10455
5.126,-2715.4,-10461
5.1265,-2714.4,-10463
5.127,-2711.9,-10460
5.1275,-2713.7,-10459
5.1285,-2708.3,-10463
5.1295,-2712.9,-10464
5.1311,-2719.7,-10459
5.132,-2712.2,-10450
5.1325,-2711.2,-10450
5.133,-2708.2,-10448
5.1341,-2700.4,-10442
5.135,-2703.1,-10442
5.1355,-2708.9,-10445
5.136,-2715.5,-10452
5.1371,-2717.5,-10461
5.138,-2708.7,-10461
5.1391,-2706.9,-10459
5.14,-2702.8,-10461
5.1405,-2703.3,-10462
5.141,-2713.5,-10462
5.1421,-2707.1,-10454
5.143,-2701.8,-10444
5.1441,-2694.5,-10437
5.145,-2694.7,-10439
5.1455,-2694.4,-10443
5.1465,-2676,-10437
5.147,-2679.7,-10440
5.1475,-2693.4,-10448
5.1485,-2703.6,-10446
5.1501,-2712.1,-10446
5.151,-2740.2,-10450
5.1515,-2774.5,-10446
5.152,-2805.8,-10438
5.1525,-2800.7,-10435
5.1535,-2741,-10432
5.1545,-2665.5,-10432
5.1555,-2633.3,-10442
5.1565,-2578,-10454
5.157,-2446.3,-10461
5.1581,-2351.6,-10469
5.159,-2266.6,-10477
5.1595,-2129.8,-10486
5.1605,-1989.4,-10490
5.161,-1805.5,-10496
5.1615,-1575,-10504
5.1625,-1288.9,-10498
5.163,-984.34,-10487
5.1635,-786.86,-10470
5.1651,-722.09,-10457
5.166,-850.27,-10432
5.1671,-1178.8,-10399
5.1675,-1466.6,-10383
5.1675,-1750.8,-10377
5.1685,-2017.4,-10372
5.169,-2203.5,-10360
5.1695,-2405.2,-10360
5.1711,-2579,-10367
5.1725,-2738.8,-10371
5.173,-2860.2,-10383
5.1735,-2935,-10392
