scl , ecg , emg_trap
12.599,-13821,-5280.1
12.6,-13793,-5278.1
12.603,-13783,-5279.1
12.607,-13786,-5305.4
12.611,-13777,-5318.3
12.611,-13790,-5332.4
12.61,-13808,-5331.8
12.613,-13828,-5335.6
12.612,-13819,-5333.8
12.616,-13810,-5308.6
12.615,-13814,-5316.1
12.618,-13826,-5290.9
12.621,-13816,-5276.9
12.618,-13790,-5290.9
12.622,-13805,-5325
12.628,-13804,-5329.9
12.626,-13804,-5299.9
12.628,-13794,-5304.8
12.627,-13803,-5308.8
12.628,-13806,-5300.2
12.632,-13833,-5320.7
12.629,-13844,-5313.4
12.633,-13852,-5309.6
12.632,-13872,-5314.2
12.636,-13891,-5349
12.639,-13912,-5350.6
12.642,-13936,-5328.5
12.643,-13944,-5319.5
12.644,-13947,-5309.2
12.647,-13940,-5295.5
12.647,-13926,-5295.6
12.648,-13910,-5306.7
12.646,-13883,-5324
12.652,-13894,-5415.7
12.654,-13886,-5456.6
12.653,-13878,-5411
12.656,-13871,-5349.6
12.654,-13872,-5350.6
12.655,-13910,-5317.9
12.661,-13928,-5358
12.664,-13967,-5337.1
12.664,-13979,-5371.9
12.665,-13966,-5430
12.666,-13953,-5363
12.667,-13904,-5282.5
12.669,-13814,-5276.3
12.672,-13714,-5317.6
12.67,-13600,-5266.6
12.675,-13438,-5254.3
12.677,-13208,-5270.4
12.68,-12984,-5233.6
12.679,-12784,-5168.5
12.677,-12673,-5163
12.677,-12616,-5191.7
12.682,-12571,-5511.8
12.683,-12602,-5509
12.684,-12787,-5415.3
12.684,-13037,-5320.2
12.683,-13291,-5366.1
12.685,-13486,-5430.8
12.684,-13747,-5345.3
12.688,-14000,-5300.1
12.69,-14179,-5262
12.692,-14272,-5309.4
12.693,-14267,-5354.6
12.691,-14233,-5550.2
12.694,-14208,-5520.1
12.698,-14223,-5348.3
12.701,-14218,-5056.8
12.7,-14200,-4852
12.701,-14175,-4788.3
12.702,-14092,-4874.7
12.7,-14006,-5002.7
12.703,-13960,-5094.2
12.704,-13895,-5129.3
12.708,-13853,-5144.8
12.709,-13797,-5172
12.709,-13762,-5236.5
12.711,-13756,-5261.8
12.707,-13763,-5253.2
12.713,-13757,-5251.4
12.713,-13781,-5258.9
12.715,-13786,-5226.7
12.713,-13781,-5267.5
12.716,-13776,-5290.4
12.725,-13774,-5285.5
12.724,-13796,-5283.3
12.723,-13796,-5268.3
12.723,-13776,-5272.7
12.72,-13768,-5273.3
12.725,-13757,-5284.4
12.727,-13735,-5311.4
12.725,-13737,-5296.3
12.73,-13731,-5286
12.733,-13760,-5295.9
12.73,-13765,-5336.9
12.731,-13753,-5316
12.733,-13742,-5322.9
12.736,-13727,-5396.1
12.733,-13719,-5487.2
12.734,-13717,-5784.1
12.738,-13726,-5930.5
12.737,-13727,-5667.3
12.741,-13727,-5394.6
12.741,-13717,-5152.7
12.744,-13726,-4910.1
12.745,-13730,-5035.8
12.746,-13727,-5141.1
12.748,-13731,-5390
12.746,-13726,-5531.2
12.748,-13711,-5422.9
12.75,-13712,-5269
12.753,-13690,-5110
12.751,-13715,-4983.3
12.754,-13713,-4996.8
12.756,-13712,-5091.9
12.754,-13700,-5138.4
12.757,-13705,-5179.4
12.763,-13705,-5186.4
12.764,-13706,-5185.8
12.762,-13708,-5197
12.764,-13709,-5219.9
12.762,-13707,-5288.8
12.763,-13704,-5354
12.761,-13705,-5366.5
12.762,-13722,-5424.1
12.766,-13705,-5573.8
12.771,-13694,-5629.2
12.772,-13689,-5661.4
12.772,-13700,-5593.5
12.77,-13691,-5521
12.772,-13684,-5285.4
12.775,-13673,-5056.9
12.777,-13672,-4924.7
12.777,-13682,-4894.3
12.775,-13676,-4971.5
12.78,-13670,-5074.3
12.783,-13663,-5134.7
12.782,-13672,-5167.1
12.781,-13670,-5193.1
12.778,-13686,-5218.6
12.784,-13687,-5245.4
12.784,-13709,-5257.9
12.784,-13677,-5268.6
12.786,-13666,-5275
12.791,-13635,-5275.6
12.793,-13621,-5289.1
12.794,-13638,-5296.3
12.796,-13646,-5308.9
12.797,-13641,-5297.8
12.795,-13638,-5294.6
12.796,-13627,-5292.6
12.796,-13620,-5302
12.796,-13627,-5294.6
12.796,-13631,-5340.1
12.798,-13619,-5468.7
12.801,-13607,-5640.2
12.801,-13600,-5566.2
12.803,-13606,-5436
12.807,-13606,-5329
12.809,-13593,-5169.1
12.804,-13581,-5079.9
12.806,-13573,-5118.8
12.808,-13568,-5254.4
12.808,-13558,-5279.3
12.81,-13575,-5292.6
12.81,-13577,-5285.3
12.812,-13562,-5262.5
12.814,-13537,-5262.6
12.818,-13531,-5261.9
12.819,-13529,-5275.1
12.817,-13517,-5296.3
12.819,-13499,-5303.4
12.821,-13489,-5309.7
12.819,-13479,-5322.1
12.818,-13489,-5315.7
12.822,-13471,-5334.3
12.822,-13459,-5374.9
12.822,-13448,-5368.9
12.821,-13450,-5348.6
12.826,-13455,-5327
12.824,-13441,-5286.7
12.825,-13424,-5245.1
12.828,-13374,-5219.7
12.827,-13372,-5295.2
12.828,-13346,-5314.3
12.829,-13357,-5312.2
12.834,-13372,-5315.6
12.829,-13368,-5303.2
12.833,-13379,-5240.1
12.835,-13381,-5250.8
12.836,-13381,-5245
12.838,-13383,-5226.6
12.84,-13395,-5242.8
12.837,-13395,-5261.7
12.839,-13416,-5333.8
12.838,-13405,-5384.8
12.84,-13388,-5410.5
12.842,-13373,-5491.5
12.841,-13373,-5443.9
12.844,-13384,-5432.1
12.845,-13379,-5366
12.847,-13369,-5242.8
12.847,-13348,-5353.7
12.849,-13343,-5379
12.849,-13340,-5329.6
12.852,-13328,-5288.6
12.85,-13329,-5263.7
12.848,-13358,-5246.3
12.85,-13365,-5230
12.854,-13380,-5208.7
12.853,-13402,-5187.9
12.855,-13395,-5185
12.855,-13407,-5189
12.855,-13447,-5246.9
12.853,-13460,-5260
12.855,-13477,-5244.7
12.858,-13501,-5273.8
12.857,-13482,-5289.5
12.858,-13493,-5289.6
12.86,-13524,-5276.8
12.863,-13544,-5282.1
12.861,-13557,-5300.4
12.861,-13564,-5297.4
12.859,-13586,-5293.9
12.861,-13598,-5296.9
12.862,-13613,-5309.1
12.864,-13618,-5324
12.866,-13642,-5364.6
12.867,-13659,-5420
12.868,-13680,-5436.4
12.869,-13698,-5413
12.87,-13706,-5391.4
12.868,-13701,-5354.8
12.874,-13714,-5308.6
12.872,-13713,-5236
12.873,-13710,-5203.8
12.874,-13719,-5232.3
12.872,-13729,-5253.4
12.871,-13741,-5257.1
12.875,-13745,-5270.2
12.873,-13743,-5284.9
12.877,-13748,-5289.7
12.878,-13750,-5295.8
12.879,-13762,-5291.5
12.878,-13768,-5296
12.881,-13769,-5306.3
12.879,-13779,-5311.9
12.879,-13784,-5313.3
12.884,-13777,-5324
12.886,-13775,-5327.3
12.884,-13777,-5329.5
12.879,-13771,-5336.8
12.884,-13770,-5337.7
12.886,-13769,-5347.7
12.886,-13769,-5343.3
12.882,-13778,-5348.5
12.888,-13778,-5347.3
12.889,-13786,-5340.9
12.89,-13800,-5329.9
12.892,-13804,-5314
12.891,-13802,-5318
12.893,-13790,-5342.5
12.895,-13800,-5343.7
12.894,-13798,-5342.1
12.893,-13793,-5332.1
12.894,-13792,-5327.4
12.895,-13791,-5305.6
12.898,-13780,-5305.8
12.893,-13767,-5324.4
12.895,-13776,-5337.5
12.898,-13775,-5342.1
12.898,-13785,-5344.8
12.9,-13785,-5344.9
12.9,-13779,-5344.5
12.898,-13786,-5339.8
12.899,-13788,-5333.4
12.904,-13792,-5340.1
12.905,-13796,-5338.3
12.905,-13797,-5343.8
12.906,-13789,-5353.4
12.909,-13776,-5365.9
12.908,-13772,-5357
12.909,-13766,-5360.3
12.909,-13759,-5371
