scl , ecg , emg_trap
3.656,6882.6,-21049
3.6566,6877.7,-21050
3.657,6880,-21045
3.6576,6883,-21041
3.658,6884.2,-21032
3.658,6880,-21031
3.658,6873.1,-21039
3.6586,6874.8,-21042
3.659,6870.6,-21048
3.659,6869.3,-21044
3.659,6872.6,-21038
3.659,6872.6,-21038
3.659,6874.4,-21039
3.6595,6885.6,-21034
3.66,6885,-21030
3.66,6881.1,-21036
3.66,6877.1,-21036
3.6606,6875.6,-21035
3.661,6871.9,-21038
3.661,6869.5,-21042
3.661,6870.5,-21045
3.6616,6867.4,-21044
3.6614,6869.9,-21034
3.6616,6873.4,-21035
3.662,6874.6,-21033
3.662,6872.5,-21028
3.6626,6875,-21034
3.663,6870.9,-21044
3.663,6866.6,-21045
3.663,6867.9,-21056
3.663,6863.1,-21061
3.663,6862.7,-21049
3.663,6862.4,-21035
3.6635,6864.7,-21032
3.664,6867.9,-21031
3.664,6867.5,-21020
3.6646,6868.2,-21024
3.665,6860.6,-21038
3.665,6861.2,-21045
3.665,6861.3,-21048
3.6656,6866.1,-21042
3.666,6867.1,-21045
3.666,6859.4,-21038
3.666,6862.5,-21025
3.666,6865.2,-21025
3.666,6861.4,-21022
3.6665,6861.2,-21024
3.667,6856.7,-21027
3.667,6855.6,-21033
3.667,6856.7,-21039
3.667,6851,-21029
3.6675,6852.4,-21038
3.668,6860.5,-21042
3.668,6865.6,-21037
3.668,6870,-21035
3.6685,6872.8,-21034
3.669,6875.7,-21035
3.669,6878.7,-21030
3.669,6890.4,-21030
3.669,6886.7,-21032
3.6695,6887.3,-21041
3.67,6894.1,-21047
3.67,6914,-21041
3.67,6932.8,-21040
3.6705,6939.1,-21041
3.671,6957.3,-21035
3.671,6958.3,-21035
3.671,6944.8,-21035
3.671,6945.2,-21030
3.671,6953.1,-21037
3.6715,6962.6,-21043
3.672,6977.9,-21043
3.672,6996.7,-21047
3.672,7007.8,-21049
3.6725,7018.8,-21040
3.673,7037.3,-21027
3.673,7065.2,-21035
3.673,7084.8,-21038
3.6735,7084.6,-21038
3.6735,7072.9,-21046
3.6735,7068.8,-21040
3.674,7072.5,-21040
3.6745,7066.4,-21035
3.675,7058.5,-21025
3.675,7062.8,-21027
3.675,7055.1,-21032
3.675,7008.7,-21031
3.675,6962.8,-21031
3.675,6936.9,-21032
3.6755,6916.5,-21032
3.676,6905.7,-21037
3.676,6892.6,-21043
3.676,6880.4,-21046
3.676,6875.2,-21044
3.6765,6873.1,-21043
3.677,6864.2,-21048
3.677,6851.5,-21045
3.677,6845.9,-21044
3.6775,6833.6,-21043
3.678,6829.6,-21051
3.678,6826.4,-21052
3.678,6821.4,-21047
3.678,6823,-21047
3.678,6821.4,-21045
3.6785,6824.3,-21047
3.6785,6826.5,-21044
3.6785,6818.8,-21039
3.679,6816,-21044
3.6795,6820.7,-21041
3.68,6814.3,-21043
3.68,6812,-21049
3.68,6816.1,-21044
3.68,6811.6,-21045
3.68,6815,-21048
3.68,6811.1,-21042
3.6805,6809.1,-21049
3.681,6813.6,-21050
3.681,6815.4,-21044
3.6815,6813.1,-21043
3.6815,6814.4,-21051
3.6815,6808.6,-21053
3.682,6804,-21059
3.682,6802.6,-21066
3.682,6799.6,-21052
3.682,6801.5,-21045
3.6825,6804.4,-21047
3.683,6806.4,-21045
3.683,6805.5,-21028
3.683,6804.9,-21028
3.6835,6807.3,-21046
3.684,6804.6,-21050
3.684,6805.6,-21059
3.684,6806.9,-21057
3.684,6804.2,-21055
3.684,6815.1,-21057
3.684,6821.2,-21048
3.6845,6820.8,-21042
3.685,6828.4,-21029
3.685,6822,-21035
3.685,6820.8,-21049
3.6855,6826,-21047
3.6855,6813.4,-21052
3.6855,6798.9,-21055
3.686,6782.6,-21060
3.686,6774.5,-21068
3.686,6795.7,-21065
3.6865,6841.7,-21048
3.687,6905.4,-21045
3.687,6980.7,-21050
3.687,7087.3,-21053
3.6875,7240.5,-21057
3.6875,7402.8,-21053
3.6875,7541.5,-21055
3.688,7685.7,-21050
3.688,7902.8,-21046
3.688,8117.7,-21034
3.688,8265.1,-21020
3.688,8379.2,-21007
3.6885,8405.6,-20973
3.689,8178.5,-20961
3.689,7753.8,-20958
3.689,7311,-20958
3.689,6891.8,-20961
3.6895,6598.3,-20961
3.6895,6461.6,-20979
3.6895,6340.2,-20988
3.69,6250.1,-20997
3.69,6221.7,-21005
3.69,6201.6,-21005
3.6905,6219.1,-21008
3.691,6273.8,-21014
3.691,6343.9,-21032
3.691,6410.3,-21049
3.691,6499.4,-21047
3.691,6602.5,-21050
3.6915,6686.4,-21057
3.6915,6746,-21051
3.6915,6797.7,-21047
3.692,6845.9,-21042
3.692,6871.2,-21035
3.6925,6889.4,-21045
3.693,6898.1,-21044
3.693,6896.9,-21042
3.693,6889.8,-21053
3.693,6888.5,-21049
3.693,6902,-21050
3.6935,6897.6,-21046
3.6935,6895.6,-21039
3.6935,6900.2,-21040
3.694,6896.7,-21045
3.694,6898.5,-21045
3.694,6902.5,-21044
3.694,6908.6,-21049
3.694,6916.5,-21052
3.6945,6918.6,-21052
3.695,6921.8,-21051
3.695,6926.4,-21050
3.695,6930.6,-21048
3.695,6934.5,-21052
3.6955,6931.6,-21045
3.6955,6938.2,-21046
3.6955,6944,-21051
3.696,6942.4,-21045
3.696,6941.7,-21050
3.696,6941,-21058
3.696,6938.8,-21051
3.696,6946.3,-21053
3.6965,6951.3,-21054
3.697,6954.8,-21048
3.697,6958.2,-21052
3.697,6958.1,-21053
3.6975,6963.3,-21050
3.698,6964.8,-21043
3.698,6966.1,-21050
3.698,6969.1,-21053
3.698,6970.4,-21057
3.698,6970.6,-21057
3.698,6973.3,-21047
3.698,6983.6,-21045
3.6985,6990.3,-21041
3.699,6989.2,-21045
3.699,6991.8,-21057
3.699,6993.4,-21048
3.699,6990.9,-21055
3.6995,6990.5,-21065
3.7,7001.7,-21060
3.6995,7015.5,-21054
3.6995,7016.2,-21048
3.7,7022.2,-21044
3.7,7022.4,-21044
3.7,7023.1,-21044
3.7,7027.2,-21038
3.7005,7024.8,-21044
3.701,7023.5,-21052
3.701,7022.8,-21047
3.701,7027.2,-21049
3.7015,7031.2,-21059
3.7015,7033.1,-21059
3.701,7037.1,-21056
3.701,7049.9,-21055
3.7015,7044.9,-21048
3.702,7049.2,-21049
3.702,7066.3,-21049
3.702,7065.6,-21049
3.702,7062.6,-21056
3.702,7072.1,-21059
3.7025,7082.7,-21053
3.703,7083.6,-21052
3.703,7092,-21054
3.703,7099.3,-21047
3.703,7100,-21051
3.703,7103.3,-21054
3.7035,7105.6,-21050
3.704,7106.1,-21053
3.704,7107.7,-21054
3.704,7115.1,-21057
3.704,7123.2,-21059
3.704,7128.5,-21055
3.704,7135.7,-21049
3.704,7144.1,-21052
3.704,7148.4,-21052
3.7045,7149.1,-21049
3.705,7153.1,-21057
3.705,7162.2,-21059
3.705,7162.7,-21055
3.705,7167,-21054
3.705,7183.6,-21059
3.705,7194.4,-21061
3.705,7202.3,-21054
3.7055,7207,-21052
3.706,7214.1,-21054
3.706,7218,-21052
3.706,7216.4,-21049
3.706,7219.1,-21055
3.7065,7227.2,-21055
3.7065,7232.1,-21056
3.7065,7239,-21060
3.707,7249.8,-21060
3.707,7251.8,-21056
3.707,7255.8,-21055
3.707,7264.4,-21052
3.707,7273.1,-21051
3.707,7273.1,-21051
3.7075,7273.1,-21050
3.708,7274.1,-21053
3.708,7276.4,-21056
3.7075,7282.6,-21062
3.7075,7283.1,-21061
3.708,7291.1,-21057
3.7085,7298.2,-21054
3.7085,7298.8,-21051
3.7085,7297.8,-21052
3.709,7294.9,-21055
3.709,7297.3,-21056
3.709,7295.4,-21059
3.709,7288.7,-21063
3.709,7286.4,-21066
3.709,7289.8,-21061
3.709,7283.8,-21056
3.709,7274.6,-21057
3.7095,7271.8,-21054
3.71,7262.7,-21052
3.71,7249.3,-21054
3.71,7233.9,-21055
3.71,7219.7,-21056
3.71,7207.8,-21064
3.71,7196.9,-21064
3.7105,7178.3,-21061
3.7105,7162.7,-21066
3.7105,7144.1,-21063
3.711,7124.6,-21059
3.711,7106.1,-21052
3.711,7085.6,-21050
3.711,7072.8,-21055
3.711,7055.4,-21053
3.711,7039.8,-21058
3.7115,7021.8,-21064
3.712,7006.4,-21063
3.712,6996.6,-21061
3.712,6983.8,-21061
3.712,6978.1,-21061
3.712,6966.6,-21059
3.712,6952,-21056
3.712,6941.4,-21060
3.712,6927.9,-21061
3.7125,6920.1,-21061
3.713,6915.8,-21063
3.7125,6911.6,-21062
3.7125,6904.2,-21065
3.713,6897.5,-21064
3.713,6902.2,-21060
3.713,6900.5,-21059
3.713,6896,-21055
3.713,6892.3,-21059
3.7135,6891.7,-21059
3.714,6895.6,-21063
3.7135,6889.2,-21066
3.7135,6885.2,-21063
3.714,6891,-21062
3.714,6890,-21063
3.714,6891,-21062
3.714,6892.4,-21058
3.714,6887.9,-21057
3.714,6886,-21058
3.714,6887.7,-21058
3.714,6885.1,-21065
3.714,6882.7,-21067
3.714,6883.7,-21067
3.7145,6883.3,-21070
3.715,6890.9,-21064
3.715,6900.2,-21057
3.715,6900.6,-21056
3.715,6899.2,-21055
3.715,6896.8,-21057
3.715,6901.2,-21058
3.7155,6896,-21060
3.716,6890.1,-21065
3.716,6891.5,-21067
3.716,6891.4,-21066
3.716,6897.6,-21062
3.716,6900.4,-21059
3.716,6906.3,-21058
3.716,6914.1,-21057
3.716,6916.2,-21056
3.7165,6913.3,-21057
3.717,6913.8,-21062
3.717,6908.9,-21065
3.717,6906,-21062
3.7165,6909.8,-21063
3.7165,6912.9,-21069
3.717,6915.2,-21063
3.717,6916.6,-21057
3.717,6922.8,-21061
3.7175,6916.7,-21061
3.7175,6916.3,-21060
3.717,6921.4,-21061
3.7175,6918.2,-21065
3.7175,6918.8,-21065
3.717,6915.9,-21067
3.7175,6918.2,-21066
3.718,6924.4,-21066
3.718,6928.1,-21068
3.718,6927.9,-21064
3.718,6934.1,-21058
3.718,6936.1,-21060
3.718,6931.6,-21066
3.718,6929.2,-21066
3.7185,6927.4,-21069
3.719,6930.9,-21069
3.7185,6929.9,-21068
3.7185,6932.1,-21068
3.7185,6935.2,-21065
3.7185,6938.4,-21061
