scl , ecg , emg_trap
2.68,6874,-20357
2.68,6881.3,-20364
2.68,6889,-20360
2.68,6892.4,-20361
2.68,6897.2,-20356
2.68,6906.2,-20346
2.68,6910.6,-20344
2.68,6908.6,-20345
2.68,6918.4,-20345
2.68,6924.7,-20351
2.68,6918.1,-20352
2.68,6920.1,-20356
2.68,6918.7,-20357
2.68,6920.7,-20351
2.68,6921,-20353
2.68,6913.1,-20347
2.68,6909.8,-20353
2.68,6906.7,-20349
2.68,6890,-20348
2.68,6877.7,-20347
2.68,6861.7,-20352
2.6796,6839.6,-20359
2.679,6819.1,-20354
2.6794,6802.6,-20360
2.68,6783.6,-20355
2.68,6762.7,-20353
2.68,6742.9,-20345
2.6796,6717,-20336
2.6794,6692.3,-20333
2.6796,6672.1,-20341
2.6794,6642.4,-20351
2.68,6620.8,-20353
2.68,6601.1,-20355
2.68,6573.6,-20360
2.68,6565.9,-20354
2.68,6557.9,-20350
2.68,6536.4,-20351
2.68,6530.9,-20351
2.6796,6520.4,-20340
2.6794,6499.9,-20346
2.6796,6490,-20357
2.679,6479.8,-20355
2.679,6474.1,-20360
2.679,6462.9,-20361
2.679,6458.4,-20354
2.679,6452,-20349
2.679,6447.1,-20347
2.679,6441,-20348
2.679,6441.2,-20351
2.679,6432.9,-20350
2.679,6428.3,-20352
2.679,6428,-20348
2.679,6417.2,-20359
2.679,6424,-20361
2.679,6424.5,-20360
2.679,6420.7,-20357
2.679,6414,-20346
2.679,6415.8,-20348
2.679,6411.6,-20351
2.679,6404.8,-20358
2.679,6404.9,-20358
2.679,6409.5,-20353
2.679,6405.3,-20361
2.679,6402,-20370
2.679,6403.8,-20366
2.679,6407.8,-20359
2.679,6415.9,-20357
2.679,6419.5,-20353
2.679,6417.8,-20352
2.679,6417.2,-20354
2.679,6419.9,-20358
2.679,6420.8,-20358
2.679,6418.7,-20356
2.679,6411.8,-20365
2.679,6412.3,-20363
2.679,6422.4,-20355
2.679,6418.1,-20358
2.679,6422.1,-20357
2.679,6425.1,-20347
2.679,6421.8,-20350
2.679,6421.3,-20354
2.679,6416,-20357
2.679,6409.9,-20366
2.679,6416.2,-20362
2.679,6416.5,-20365
2.679,6419.7,-20364
2.679,6424.3,-20358
2.679,6425.9,-20348
2.679,6428.7,-20344
2.679,6436.1,-20351
2.679,6429,-20355
2.679,6422.4,-20355
2.679,6417.9,-20357
2.679,6416.7,-20361
2.679,6420.4,-20372
2.679,6418.4,-20363
2.679,6424.1,-20359
2.679,6424.3,-20357
2.679,6432.7,-20356
2.679,6428.7,-20353
2.679,6428.7,-20344
2.679,6429.5,-20349
2.679,6420.7,-20356
2.679,6416.8,-20360
2.6786,6415.3,-20369
2.6784,6416.4,-20365
2.679,6421,-20361
2.679,6427.7,-20363
2.679,6425.3,-20356
2.6786,6423.5,-20350
2.6784,6420.2,-20348
2.6786,6419.6,-20358
2.6784,6419.7,-20365
2.679,6410,-20365
2.679,6411,-20364
2.6786,6412.6,-20364
2.6784,6411.1,-20359
2.679,6412.2,-20353
2.679,6411.2,-20352
2.6786,6406.5,-20347
2.678,6407.6,-20354
2.678,6406.1,-20353
2.678,6396.7,-20355
2.678,6393.1,-20360
2.678,6396.1,-20360
2.678,6390.2,-20359
2.678,6388.1,-20353
2.678,6391.9,-20356
2.678,6397.2,-20361
2.678,6400.7,-20354
2.678,6392.1,-20353
2.678,6392,-20349
2.678,6389.7,-20348
2.678,6379.7,-20352
2.678,6381.1,-20359
2.678,6380.9,-20364
2.678,6379.9,-20361
2.678,6387.1,-20357
2.678,6392.5,-20353
2.678,6392,-20355
2.678,6388.1,-20356
2.678,6388.6,-20358
2.678,6377,-20362
2.678,6365.4,-20361
2.678,6369.1,-20361
2.678,6363,-20367
2.678,6363.9,-20365
2.678,6370.8,-20361
2.678,6377.4,-20358
2.678,6377.3,-20357
2.678,6371.5,-20355
2.678,6365.2,-20360
2.678,6363.9,-20362
2.678,6363.6,-20362
2.678,6361,-20368
2.678,6369.6,-20371
2.678,6370.5,-20368
2.678,6377,-20369
2.678,6382.1,-20369
2.678,6385.4,-20358
2.678,6401.8,-20355
2.678,6407.4,-20358
2.678,6410.3,-20358
2.678,6412.7,-20363
2.678,6423.2,-20357
2.678,6447.5,-20361
2.678,6460.5,-20365
2.678,6458.4,-20360
2.678,6471.8,-20353
2.678,6474.6,-20353
2.678,6466.1,-20355
2.678,6469,-20354
2.678,6480.2,-20352
2.678,6488.6,-20356
2.678,6504.6,-20359
2.678,6519.8,-20361
2.678,6539.7,-20363
2.678,6546.6,-20361
2.678,6556.6,-20357
2.678,6591.9,-20352
2.678,6612.2,-20348
2.678,6608.5,-20347
2.6776,6597.3,-20343
2.6774,6598.4,-20344
2.678,6601.6,-20354
2.678,6594.5,-20358
2.678,6589.2,-20358
2.6776,6572,-20355
2.677,6538.8,-20353
2.6774,6483.1,-20354
2.6776,6442.1,-20352
2.6774,6420.1,-20356
2.678,6400.8,-20356
2.678,6393.8,-20355
2.678,6378.7,-20359
2.678,6376.6,-20363
2.6776,6378.8,-20372
2.6774,6363.8,-20371
2.6776,6351,-20365
2.677,6348.7,-20364
2.677,6347,-20361
2.677,6339.5,-20358
2.677,6334,-20362
2.6774,6330.1,-20363
2.678,6324.9,-20363
2.6776,6318.6,-20363
2.677,6318.8,-20365
2.677,6321.9,-20369
2.677,6320.6,-20362
2.677,6318.3,-20356
2.677,6320.2,-20350
2.677,6317.8,-20351
2.677,6318.9,-20356
2.677,6322.1,-20363
2.677,6317.6,-20365
2.677,6313.7,-20367
2.677,6311.5,-20371
2.677,6310.7,-20373
2.677,6308.8,-20374
2.677,6313.8,-20368
2.677,6316.1,-20360
2.677,6311.3,-20361
2.677,6310.8,-20358
2.677,6310.2,-20363
2.677,6308.7,-20363
2.677,6306.3,-20362
2.677,6306.1,-20369
2.677,6304.6,-20372
2.677,6306.4,-20368
2.677,6313.6,-20366
2.677,6317.5,-20362
2.677,6318.8,-20354
2.677,6318.5,-20352
2.677,6320.9,-20354
2.677,6325.4,-20357
2.677,6317.9,-20360
2.677,6320,-20364
2.677,6323.9,-20370
2.677,6322.3,-20371
2.677,6329.1,-20365
2.677,6334.1,-20364
2.677,6338.3,-20360
2.677,6337.2,-20358
2.677,6324,-20360
2.677,6312.3,-20366
2.677,6294.7,-20378
2.677,6285.6,-20385
2.677,6310.8,-20386
2.677,6346.5,-20384
2.677,6413.2,-20382
2.677,6525.1,-20377
2.677,6673,-20368
2.677,6834.5,-20364
2.677,7005.2,-20356
2.677,7157.8,-20362
2.677,7347.7,-20359
2.677,7596.8,-20344
2.677,7762.4,-20350
2.6766,7884.4,-20341
2.6764,7962.4,-20298
2.677,7855,-20270
2.677,7464.3,-20260
2.677,6993.9,-20255
2.677,6518.9,-20265
2.677,6114.2,-20271
2.677,5940.7,-20295
2.677,5833.7,-20311
2.6766,5742.8,-20325
2.676,5707.1,-20325
2.6764,5691.6,-20327
2.6766,5699.5,-20332
2.676,5766.6,-20332
2.676,5842.2,-20338
2.676,5917.1,-20353
2.676,6010,-20357
2.676,6114.7,-20356
2.676,6201.1,-20356
2.676,6268.9,-20364
2.676,6325.6,-20364
2.676,6369.2,-20361
2.676,6405,-20357
2.676,6427.1,-20353
2.676,6435.4,-20352
2.676,6432.4,-20350
2.676,6429.7,-20353
2.676,6424.8,-20357
2.676,6428.7,-20366
2.676,6428.5,-20364
2.676,6430.3,-20369
2.676,6431.9,-20369
2.676,6440.4,-20364
