scl , ecg , emg_trap
2.056,5992,-20772
2.056,5989.2,-20770
2.056,5985.9,-20778
2.056,5983,-20776
2.056,5988.2,-20772
2.056,5992.1,-20771
2.056,5993.8,-20772
2.056,5995.5,-20766
2.056,5998.3,-20768
2.056,5999.7,-20771
2.056,5992.6,-20768
2.056,5995.1,-20773
2.056,6000.3,-20776
2.056,6001.2,-20778
2.056,6001.4,-20780
2.056,6002.5,-20777
2.056,6007,-20779
2.056,6008.9,-20773
2.056,6014.7,-20766
2.056,6018.9,-20764
2.056,6018.2,-20768
2.056,6010.6,-20765
2.056,5992.4,-20765
2.056,5971.1,-20782
2.056,5949.6,-20794
2.056,5962.8,-20798
2.056,5992.8,-20798
2.056,6049.6,-20795
2.056,6139.6,-20785
2.056,6270.2,-20780
2.056,6429.3,-20770
2.056,6599,-20762
2.056,6755.5,-20762
2.056,6897.3,-20763
2.056,7121.5,-20760
2.056,7295.3,-20756
2.056,7408,-20755
2.056,7483.6,-20729
2.056,7457.7,-20690
2.0567,7130.9,-20681
2.057,6666,-20678
2.0563,6210,-20684
2.0567,5770.3,-20678
2.057,5533.4,-20696
2.0563,5439.9,-20710
2.0567,5360.4,-20727
2.057,5319.4,-20742
2.0563,5305.6,-20742
2.0567,5331.2,-20747
2.057,5390.7,-20746
2.057,5476,-20754
2.057,5563.2,-20767
2.057,5665.8,-20774
2.057,5780.1,-20778
2.057,5877,-20777
2.057,5949.6,-20777
2.0563,6013.3,-20775
2.0567,6061.5,-20774
2.057,6092.1,-20770
2.057,6115.5,-20766
2.057,6116.2,-20771
2.057,6111.8,-20770
2.057,6111,-20770
2.057,6110.2,-20766
2.057,6107.9,-20770
2.057,6115.1,-20773
2.057,6118.6,-20774
2.057,6122.8,-20775
2.057,6125.9,-20771
2.057,6127.4,-20767
2.057,6135.7,-20768
2.057,6139.6,-20770
2.057,6138.4,-20773
2.057,6138.5,-20771
2.057,6142.3,-20770
2.057,6146.6,-20769
2.057,6145.5,-20769
2.057,6147.3,-20779
2.057,6152,-20773
2.057,6153.3,-20769
2.057,6162.6,-20765
2.057,6162.7,-20766
2.057,6164.7,-20771
2.057,6166.5,-20771
2.057,6168.1,-20771
2.057,6175.2,-20775
2.057,6173.6,-20771
2.057,6181.4,-20766
2.057,6183.2,-20770
2.057,6184.8,-20775
2.057,6187.7,-20772
2.057,6193.5,-20773
2.057,6195.3,-20768
2.057,6197.5,-20772
2.057,6199.8,-20772
2.057,6202.7,-20773
2.057,6200.8,-20778
2.057,6204.8,-20779
2.057,6210.2,-20772
2.057,6215.7,-20775
2.057,6221.4,-20767
2.057,6226.4,-20762
2.057,6230.2,-20764
2.057,6227.5,-20764
2.057,6229.9,-20764
2.057,6233.7,-20763
2.057,6234.4,-20769
2.057,6239.3,-20777
2.057,6247,-20775
2.057,6250.7,-20770
2.057,6256.2,-20765
2.057,6259.1,-20763
2.057,6259.3,-20765
2.057,6263.8,-20769
2.057,6265.6,-20773
2.057,6269.1,-20770
2.057,6272.4,-20768
2.057,6276.7,-20768
2.057,6280.9,-20771
2.057,6291.7,-20771
2.057,6296.4,-20763
2.057,6302.7,-20760
2.057,6306.3,-20757
2.057,6308.2,-20762
2.057,6312.1,-20765
2.057,6316.4,-20769
2.057,6319,-20765
2.057,6321,-20771
2.057,6331.7,-20770
2.057,6342.9,-20766
2.057,6349.2,-20764
2.057,6355.8,-20758
2.057,6357.6,-20759
2.057,6363.7,-20758
2.057,6371.9,-20763
2.057,6375,-20767
2.0577,6380.4,-20765
2.0573,6388.7,-20768
2.057,6394.5,-20772
2.057,6402.4,-20775
2.057,6410.3,-20770
2.057,6423.8,-20764
2.057,6430.8,-20760
2.0577,6433.9,-20760
2.0573,6434.6,-20761
2.057,6444.2,-20764
2.057,6452.8,-20766
2.0577,6458.9,-20768
2.0573,6463.8,-20766
2.057,6466.5,-20767
2.0577,6472,-20770
2.058,6484.5,-20770
2.0573,6487.1,-20768
2.0577,6499.1,-20756
2.058,6499,-20761
2.058,6503,-20771
2.058,6499.6,-20765
2.058,6502.4,-20766
2.058,6506.6,-20774
2.058,6507.8,-20778
2.058,6517.9,-20773
2.058,6524.8,-20767
2.058,6526.1,-20767
2.058,6522.2,-20767
2.058,6525.3,-20764
2.058,6530.6,-20768
2.058,6527.8,-20768
2.058,6517.9,-20772
2.058,6518.9,-20770
2.058,6521.5,-20768
2.058,6521.4,-20762
2.058,6515,-20763
2.058,6510.1,-20768
2.058,6501.9,-20759
2.058,6488.6,-20762
2.058,6465.3,-20764
2.058,6452.9,-20767
2.058,6433.7,-20765
2.058,6414.6,-20768
2.058,6394.6,-20777
2.058,6380.9,-20772
2.058,6362,-20772
2.058,6343.4,-20766
2.058,6326.2,-20765
2.058,6304,-20762
2.058,6285.8,-20763
2.058,6267.4,-20767
2.058,6245.5,-20765
2.058,6230.7,-20770
2.058,6214.9,-20773
2.058,6198.4,-20773
2.058,6183.3,-20775
2.058,6175.3,-20766
2.058,6167,-20764
2.058,6154.1,-20762
2.058,6142.8,-20766
2.058,6132.7,-20766
2.058,6122.8,-20769
2.058,6114.3,-20770
2.058,6111.2,-20775
2.058,6105.9,-20777
2.058,6107.6,-20772
2.058,6108.4,-20766
2.058,6105.5,-20762
2.058,6101.3,-20762
2.058,6097.2,-20763
2.058,6090.8,-20769
2.058,6086.3,-20767
2.058,6086.6,-20766
2.058,6089.1,-20767
2.058,6087.9,-20764
2.058,6088.6,-20767
2.058,6093.6,-20764
2.058,6093.3,-20768
2.058,6096.9,-20762
2.058,6092.1,-20757
2.058,6090.7,-20768
2.058,6090.4,-20772
2.058,6089.3,-20768
2.058,6090.8,-20772
2.058,6091.2,-20776
2.058,6093.4,-20773
2.058,6100.2,-20773
2.058,6097.7,-20766
2.058,6099.2,-20764
2.058,6099.8,-20764
2.058,6099.3,-20770
2.058,6101.6,-20766
2.058,6092.2,-20769
2.058,6092.8,-20771
2.058,6097.2,-20775
2.058,6097.3,-20770
2.058,6101.1,-20766
2.058,6103.1,-20769
2.058,6102,-20770
2.058,6101.9,-20765
2.058,6104.2,-20768
