scl , ecg , emg_trap
5.569,9274.1,-12553
5.5692,9274.9,-12546
5.5698,9277.1,-12540
5.5692,9284.4,-12545
5.5698,9279.6,-12536
5.5688,9284.4,-12536
5.5683,9284.7,-12524
5.5698,9305,-12537
5.569,9294.3,-12533
5.569,9300.4,-12537
5.5692,9325.9,-12549
5.5698,9328.2,-12556
5.569,9312.1,-12545
5.5688,9313.3,-12534
5.5682,9325.2,-12540
5.569,9329.2,-12532
5.5688,9329.9,-12534
5.5682,9334.1,-12540
5.569,9328.4,-12532
5.569,9331.9,-12537
5.569,9343.1,-12529
5.569,9331.9,-12544
5.5692,9336.3,-12541
5.5698,9376.8,-12547
5.569,9346.9,-12548
5.569,9360.4,-12556
5.5688,9349.8,-12549
5.5682,9363.6,-12556
5.569,9360.2,-12557
5.569,9357.3,-12550
5.569,9370.2,-12551
5.5688,9366.2,-12543
5.5682,9376,-12548
5.5688,9397.7,-12551
5.568,9395.3,-12553
5.5682,9403,-12546
5.569,9395.8,-12555
5.569,9406.5,-12543
5.569,9395.5,-12532
5.5688,9420.1,-12550
5.5682,9411,-12555
5.5688,9420.3,-12549
5.568,9403,-12553
5.568,9428.1,-12548
5.568,9429.9,-12557
5.5682,9460.9,-12557
5.569,9456.7,-12551
5.5688,9447.2,-12557
5.568,9450.3,-12568
5.568,9456.8,-12562
5.568,9469.6,-12561
5.5682,9453.7,-12553
5.569,9473.8,-12545
5.569,9490.7,-12557
5.5688,9478.2,-12548
5.5682,9492.2,-12557
5.5688,9511.7,-12550
5.568,9506.8,-12555
5.5682,9513.3,-12555
5.5688,9509.7,-12557
5.5682,9513.6,-12546
5.5688,9520.9,-12557
5.5682,9526.2,-12562
5.569,9535.7,-12555
5.569,9542.6,-12546
5.5688,9548.2,-12537
5.568,9540.8,-12556
5.5682,9551.4,-12548
5.5688,9564.6,-12549
5.5682,9557.6,-12558
5.5688,9550,-12560
5.568,9558.6,-12559
5.5682,9563.9,-12554
5.569,9573.4,-12565
5.569,9581.7,-12561
5.5688,9573.9,-12542
5.568,9585,-12539
5.5682,9595.7,-12544
5.569,9595.2,-12554
5.5688,9602.2,-12542
5.568,9592.7,-12544
5.568,9596.3,-12551
5.568,9607.5,-12556
5.5682,9616.3,-12555
5.5688,9611.4,-12543
5.568,9616.6,-12535
5.568,9596.4,-12536
5.568,9606.1,-12536
5.568,9614,-12545
5.5682,9603,-12549
5.5688,9607.2,-12528
5.568,9601,-12529
5.568,9591.2,-12539
5.568,9590.5,-12537
5.568,9598.8,-12540
5.5682,9588.2,-12530
5.5688,9565.5,-12534
5.5682,9570.8,-12519
5.569,9568.4,-12512
5.5688,9555.1,-12519
5.568,9558.9,-12522
5.568,9557.8,-12525
5.5682,9565.9,-12538
5.5688,9554.6,-12537
5.568,9534.6,-12539
5.568,9544.7,-12517
5.5682,9539.2,-12515
5.5686,9543,-12526
5.5672,9539.5,-12528
5.5678,9534.8,-12526
5.567,9538.2,-12535
5.5672,9534.3,-12534
5.5682,9538.8,-12529
5.5686,9535.5,-12532
5.567,9518.7,-12534
5.567,9522.5,-12529
5.567,9525.4,-12540
5.5672,9519.2,-12538
5.568,9533.3,-12528
5.5678,9531.1,-12526
5.5672,9525.3,-12533
5.568,9518.2,-12528
5.5678,9545.6,-12532
5.5672,9547,-12531
5.568,9531.8,-12526
5.5678,9532.3,-12538
5.567,9525.4,-12519
5.567,9530.2,-12517
5.567,9531.4,-12525
5.567,9534.6,-12535
5.567,9531.7,-12522
5.5672,9534.9,-12528
5.5677,9524.1,-12510
5.5662,9536.4,-12524
5.567,9541.2,-12521
5.567,9556.6,-12519
5.567,9549.2,-12520
5.567,9543.6,-12520
5.567,9550,-12531
5.567,9534.9,-12517
5.567,9528,-12528
5.5668,9538,-12528
5.5662,9565.5,-12536
5.567,9563.1,-12527
5.567,9549.7,-12520
5.567,9563.3,-12534
5.567,9558.7,-12534
5.567,9567.3,-12521
5.5668,9554.6,-12519
5.5663,9555.7,-12518
5.5679,9563.2,-12510
5.567,9551.5,-12513
5.567,9570.4,-12528
5.567,9553.3,-12531
5.567,9566.3,-12537
5.5669,9569.4,-12520
5.566,9556.3,-12528
5.566,9573.8,-12537
5.566,9587.6,-12533
